brand_name,product_category,units_sold,total_revenue,avg_retail_price,transactions
Nicfazy,Dress,1,26.99,26.99,1
Paper Crane,Top,1,26.99,26.99,1
Petra Fashions,Top,1,26.99,26.99,1
Thadia Sodi,Skirt,1,26.99,26.99,1
Travelers,Top,1,26.99,26.99,1
A Beautiful Soul,Dress,1,25.99,25.99,1
Aerosoles,Shoes,1,25.99,25.99,1
Allison Taylor,Dress,1,25.99,25.99,1
Altar'd State,Dress,1,25.99,25.99,1
Angie,Top,1,25.99,25.99,1
Bamboo Traders,Skirt,1,25.99,25.99,1
Band of the Free,Dress,1,25.99,25.99,1
Billabong,Top,1,25.99,25.99,1
Blu Pepper,Set,1,25.99,25.99,1
Bodin Kits,Sweater/Cardigan,1,25.99,25.99,1
Bruce Lee,Accessories,1,25.99,25.99,1
Canyon River Blues,Top,1,25.99,25.99,1
Caramela,Other,1,25.99,25.99,1
Chalet,Jacket/Coat,1,25.99,25.99,1
Chelsea Niles,Dress,1,25.99,25.99,1
Coldwater Creek,Skirt,1,25.99,25.99,1
Coldwater Creek,Top,1,25.99,25.99,1
Cosmic Aura,Other,1,25.99,25.99,1
Dolce Vita,Shoes,1,25.99,25.99,1
Ellcont,Dress,1,25.99,25.99,1
Goodclothes,Sweater/Cardigan,1,25.99,25.99,1
Guess,Dress,1,25.99,25.99,1
Hanna Gracie,Skirt,1,25.99,25.99,1
JKLA California,Other,1,25.99,25.99,1
JS Signature,Skirt,1,25.99,25.99,1
Jaipur,Top,1,25.99,25.99,1
Jen 7,Jeans/Pants,1,25.99,25.99,1
Johnny Was,Accessories,1,25.99,25.99,1
Joie,Top,1,25.99,25.99,1
K Too,Skirt,1,25.99,25.99,1
Karlie,Dress,1,25.99,25.99,1
Kenzie,Dress,1,25.99,25.99,1
Kimchi Blue,Top,1,25.99,25.99,1
Laura Ashley,Other,1,25.99,25.99,1
Linda Anderson,Dress,1,25.99,25.99,1
Loveriche,Skirt,1,25.99,25.99,1
Madison,Sweater/Cardigan,1,25.99,25.99,1
Marks & Spencer,Top,1,25.99,25.99,1
Maverick,Jeans/Pants,1,25.99,25.99,1
Michael Kors,Dress,1,25.99,25.99,1
Mlle Gabrielle,Dress,1,25.99,25.99,1
Monteau,Other,1,25.99,25.99,1
Moon & Madison,Sweater/Cardigan,1,25.99,25.99,1
Nautica,Shoes,1,25.99,25.99,1
Newbury Kustom,Top,1,25.99,25.99,1
Pink Kigi,Top,1,25.99,25.99,1
Rebekah,Other,1,25.99,25.99,1
Recycled Karma,Top,1,25.99,25.99,1
Street One,Skirt,1,25.99,25.99,1
Town & Country,Accessories,1,25.99,25.99,1
Truth,Dress,1,25.99,25.99,1
U.A.,Top,1,25.99,25.99,1
V Italia,Top,1,25.99,25.99,1
White House Black Market,Other,1,25.99,25.99,1
White House Black Market,Set,1,25.99,25.99,1
Woman Within,Top,1,25.99,25.99,1
Xoxo,Top,1,25.99,25.99,1
Zara,Sweater/Cardigan,1,25.99,25.99,1
Zara,Other,2,25.98,12.99,2
Annex,Accessories,1,25.0,25.0,1
Fate,Dress,1,25.0,25.0,1
Marled,Jacket/Coat,1,25.0,25.0,1
Self Contrast,Top,1,25.0,25.0,1
Wu-Tang,Top,1,25.0,25.0,1
Alexis Bitlar,Accessories,1,24.99,24.99,1
American Eagle,Set,1,24.99,24.99,1
Arden B,Sweater/Cardigan,1,24.99,24.99,1
Asos Design,Dress,1,24.99,24.99,1
Athleta,Jeans/Pants,1,24.99,24.99,1
Audrey Talbott,Top,1,24.99,24.99,1
August Silk,Other,1,24.99,24.99,1
Ayla,Top,1,24.99,24.99,1
BCBG Maxazria,Other,1,24.99,24.99,1
BCBG Maxazria,Sweater/Cardigan,1,24.99,24.99,1
Bailey 44,Top,1,24.99,24.99,1
Bailey Blue,Top,1,24.99,24.99,1
Bandolino,Jacket/Coat,1,24.99,24.99,1
Bernardo,Skirt,1,24.99,24.99,1
Betsy Lauren,Jacket/Coat,1,24.99,24.99,1
Bluebell,Dress,1,24.99,24.99,1
Bryn Walker,Other,1,24.99,24.99,1
Cal Style,Skirt,1,24.99,24.99,1
Chelsea & Theodore,Top,1,24.99,24.99,1
Cinema Etoile,Other,1,24.99,24.99,1
Clockhouse,Top,1,24.99,24.99,1
Colesce Couture,Other,1,24.99,24.99,1
Collectif,Top,1,24.99,24.99,1
Cynthia Rowley,Jeans/Pants,1,24.99,24.99,1
Dana Buchman,Skirt,1,24.99,24.99,1
Easel,Top,1,24.99,24.99,1
Elgin American,Other,1,24.99,24.99,1
Em,Top,1,24.99,24.99,1
Emma James,Skirt,1,24.99,24.99,1
Eri & All,Other,1,24.99,24.99,1
Exclusive,Other,1,24.99,24.99,1
Expressions Plus,Top,1,24.99,24.99,1
Finity Naturals,Skirt,1,24.99,24.99,1
First Glance,Top,1,24.99,24.99,1
Francesca's,Sweater/Cardigan,1,24.99,24.99,1
Gilla,Top,1,24.99,24.99,1
Grace Karin,Top,1,24.99,24.99,1
In Bloom,Top,1,24.99,24.99,1
Intuitions,Top,1,24.99,24.99,1
J & X,Accessories,1,24.99,24.99,1
J.Crew,Shoes,1,24.99,24.99,1
Jones New York,Dress,1,24.99,24.99,1
Kensie,Dress,1,24.99,24.99,1
Kim Rogers,Dress,1,24.99,24.99,1
La Sensa,Top,1,24.99,24.99,1
Lili Sidonio,Skirt,1,24.99,24.99,1
Lilly Pulitzer,Top,1,24.99,24.99,1
Liz Claiborne,Dress,1,24.99,24.99,1
Liz Claiborne,Skirt,1,24.99,24.99,1
Lulus,Dress,1,24.99,24.99,1
Lulus,Set,1,24.99,24.99,1
Lush,Top,1,24.99,24.99,1
Mable,Top,1,24.99,24.99,1
Madison & Berkeley,Top,1,24.99,24.99,1
Maison d' Amelie,Top,1,24.99,24.99,1
Mariella Burani,Other,1,24.99,24.99,1
Mondessa,Top,1,24.99,24.99,1
More To Come,Other,1,24.99,24.99,1
Natural Life,Top,1,24.99,24.99,1
Nellie Parton,Other,1,24.99,24.99,1
Next,Top,1,24.99,24.99,1
Nubile Jeans,Skirt,1,24.99,24.99,1
ODM Premium Goods,Top,1,24.99,24.99,1
One Secret,Other,1,24.99,24.99,1
Pamela Stewart,Other,1,24.99,24.99,1
Patrons of Peace,Top,1,24.99,24.99,1
Peter Carol,Sweater/Cardigan,1,24.99,24.99,1
Philosophy,Dress,1,24.99,24.99,1
Pink Lily,Dress,1,24.99,24.99,1
Pink Lily,Skirt,1,24.99,24.99,1
Pinque,Sweater/Cardigan,1,24.99,24.99,1
Plenty,Dress,1,24.99,24.99,1
Primark,Top,1,24.99,24.99,1
Refuge Denim,Jeans/Pants,1,24.99,24.99,1
Reiss,Top,1,24.99,24.99,1
Rickie Freeman,Dress,1,24.99,24.99,1
Serengeti,Top,1,24.99,24.99,1
Sid & Sandy,Top,1,24.99,24.99,1
Skims,Top,1,24.99,24.99,1
Solitaire,Skirt,1,24.99,24.99,1
Stylus,Dress,1,24.99,24.99,1
T by Talbots,Top,1,24.99,24.99,1
Talbots,Set,1,24.99,24.99,1
The Collection Royal,Top,1,24.99,24.99,1
Torrid,Skirt,1,24.99,24.99,1
Urban Outfitters,Other,1,24.99,24.99,1
Vici,Dress,1,24.99,24.99,1
Weerawat Vintage,Skirt,1,24.99,24.99,1
Willi Smith,Skirt,1,24.99,24.99,1
fp Movement,Top,1,24.99,24.99,1
by JJ,Top,1,24.0,24.0,1
Alfred Dunner,Sweater/Cardigan,1,23.99,23.99,1
Billabong,Dress,1,23.99,23.99,1
Billabong,Skirt,1,23.99,23.99,1
Fabrik,Dress,1,23.99,23.99,1
Freemarket,Top,1,23.99,23.99,1
Ilaria,Top,1,23.99,23.99,1
Johnny Martin,Dress,1,23.99,23.99,1
Karessah,Top,1,23.99,23.99,1
LA Gypsy,Jeans/Pants,1,23.99,23.99,1
LIV Los Angeles,Top,1,23.99,23.99,1
Miss Dorby,Jacket/Coat,1,23.99,23.99,1
Parkhurst,Top,1,23.99,23.99,1
Voila,Romper/Jumpsuit,1,23.99,23.99,1
Wallflower Vintage Collection,Jacket/Coat,1,23.99,23.99,1
Foxblood,Dress,1,23.0,23.0,1
Alma-Mater Collection,Other,1,22.99,22.99,1
Altar'd State,Skirt,1,22.99,22.99,1
Banana Republic,Accessories,1,22.99,22.99,1
Bebe,Top,1,22.99,22.99,1
Blu Pepper,Other,1,22.99,22.99,1
Blu Pepper,Top,1,22.99,22.99,1
Chinese Laundry,Other,1,22.99,22.99,1
Cloth & Stone,Top,1,22.99,22.99,1
Cynthia Rowley,Dress,1,22.99,22.99,1
Dkny,Top,1,22.99,22.99,1
Edikted,Skirt,1,22.99,22.99,1
Express,Dress,1,22.99,22.99,1
Express,Romper/Jumpsuit,1,22.99,22.99,1
Express Bleus,Sweater/Cardigan,1,22.99,22.99,1
Garage,Other,1,22.99,22.99,1
Gibson,Other,1,22.99,22.99,1
Gypsies & Moondust,Top,1,22.99,22.99,1
