date,hour,month,day_of_week,week_num,receipt_number,sku,details,brand_name,product_category,size,quantity,subtotal,sales_tax,total,retail_price,has_discount
2026-03-28,12,3,Saturday,13,650,10003761,1883 Teal and Brown Cowgirl Boots / Size 7.5,1883 by Luccheen,Shoes,7.5,1.0,224.99,20.81158,245.80158,224.99,True
2026-03-28,12,3,Saturday,13,649,10006030,LaceLongsleeve/SizeS,Unknown,Other,S,1.0,28.99,2.68158,31.67158,28.99,False
2026-03-28,12,3,Saturday,13,648,10007094,Fleur Silk Scarf,Fleur,Accessories,,1.0,39.99,3.69908,43.68908,39.99,False
2026-03-28,12,3,Saturday,13,647,10005733,Desigual Multicolor Coat / Size 40,Desigual,Jacket/Coat,40,1.0,175.0,16.1875,191.1875,175.0,False
2026-03-28,11,3,Saturday,13,646,10005210,Limited Black Skirt/Size 2,The Limited,Skirt,2,1.0,22.99,2.12658,25.11658,22.99,False
2026-03-28,11,3,Saturday,13,646,10007064,Naturalizer Lime Green Mules/Size 8.5,Naturalizer,Other,8.5,1.0,20.99,1.94158,22.93158,20.99,False
2026-03-28,11,3,Saturday,13,645,10005697,VINTAGE Black Blouse Gold Leaf / Size Large,Unknown,Top,L,1.0,22.99,2.12658,25.11658,22.99,False
2026-03-28,11,3,Saturday,13,645,10006127,VintageSears/WhiRuffleBtnDwn/Size8,Sears,Other,8,1.0,18.99,1.75658,20.74658,18.99,False
2026-03-28,10,3,Saturday,13,644,10007325,Biviar Black Hat,Biviar,Accessories,,1.0,12.99,1.20158,14.19158,12.99,False
2026-03-28,10,3,Saturday,13,644,10003993,Pink Trio Flower Earrings,,Accessories,,1.0,8.5,0.78625,9.28625,8.5,False
2026-03-27,20,3,Friday,13,643,10007125,Jason Maxwell Green Floral Hoodie/ Size XL,Jason Maxwell,Other,XL,1.0,22.99,2.12658,25.11658,22.99,False
2026-03-27,20,3,Friday,13,642,10006927,ClothXStone/WhiteSlvlessBttnDwn/SizeM,Cloth X Stone,Top,M,1.0,22.99,2.12658,25.11658,22.99,False
2026-03-27,20,3,Friday,13,642,10006071,unknown/tank/blk/m,Unknown,Top,M,1.0,15.99,1.47908,17.46908,15.99,False
2026-03-27,19,3,Friday,13,641,10000062,ZaraSweater_Cu / blue / M / 1.35,Zara,Sweater/Cardigan,,1.0,25.99,2.40408,28.39408,25.99,False
