sku,product_name,brand_name,product_category,size,retail_price,supply_price,gross_margin_pct,current_inventory,sold_revenue,closing_inventory,inventory_cost
10006513,Corduroy Red & Beige Skirt,Unknown,Skirt,10,37.99,0.0,,0,37.99,0,0.0
10007913,Free People Red NWT Lace Dress,Free People NWT,Dress,8,37.99,0.0,,0,37.99,0,0.0
10006966,Lauren RL White Off Shoulder Top,Lauren Ralph Lauren,Top,S,37.99,0.0,,0,37.99,0,0.0
10004204,Loft Black & White Stripe Dress NWT,Ann Taylor LOFT,Dress,00,37.99,0.0,,0,37.99,0,0.0
10007179,Lovestitch Dress Pink White,,Dress,M,37.99,0.0,,0,37.99,0,0.0
10003827,Madwell Skinny Jean,Madwell,Jeans/Pants,4,37.99,0.0,,0,37.99,0,0.0
10006618,Maggy London Dress Pink,,Dress,6,37.99,20.0,47.4,0,37.99,0,0.0
10006475,VINTAGE MJ Soffe TN Orange Crewneck,M.J. Soffe,Other,L,37.99,0.0,,0,37.99,0,0.0
10008741,Foxblood Black Dress S,,Dress,,39.0,9.75,75.0,0,37.66411,0,0.0
10004596,Lanz VINTAGE Pink Colorful Dress,Lanz Vintage,Dress,L,36.99,0.0,,0,36.99,0,0.0
10006638,Metal Scales Belt Floral Buckle,Unknown,Accessories,,36.99,0.0,,0,36.99,0,0.0
10007836,B. Right Pink Rose Strapless Dress,B. Right,Dress,S,37.99,0.0,,0,36.4821,0,0.0
10007080,Allegria Red Sling Backs,Allegria,Other,7,35.99,0.0,,0,35.99,0,0.0
10005716,Ann Taylor Black Leather Skirt,Ann Taylor,Skirt,8,35.99,0.0,,0,35.99,0,0.0
10004886,anthropologie skrt flr 2p,Anthropologie,Skirt,,35.99,0.0,,0,35.99,0,0.0
10006579,Baccini Jean Jacket inc Addon Pins,Baccini,Jeans/Pants,XL,35.99,0.0,,0,35.99,0,0.0
10006271,Basket Tote Purse,Unknown,Accessories,,35.99,0.0,,0,35.99,0,0.0
10005984,BCBG Burgundy Dress w Sleeves,BCBG Maxazria,Dress,M,35.99,0.0,,0,35.99,0,0.0
10006577,Bechamel Brown Woven Leather Bag,Bechamel,Accessories,,35.99,0.0,,0,35.99,0,0.0
10003662,boohoo dress pink,Boohoo,Dress,10,35.99,0.0,,0,35.99,0,0.0
10008480,Candies Pink Jacket,,Jacket/Coat,XL,35.99,8.5,76.4,0,35.99,0,0.0
10004299,Chicos JeanJacket,Chicoxs,Jeans/Pants,L,35.99,0.0,,0,35.99,0,0.0
10006008,ClothXStone GrnJumpsuit,Cloth X Stone,Romper/Jumpsuit,XS,35.99,0.0,,0,35.99,0,0.0
10004605,CoteFemme Grey&PinkDress,Cote Femme,Dress,10,35.99,0.0,,1,35.99,1,0.0
10005396,coutgo shoes blk,Coutgo,Shoes,6.5,35.99,0.0,,0,35.99,0,0.0
10005461,Dissh BlackDress,Dissh,Dress,6,35.99,0.0,,0,35.99,0,0.0
10008225,Flat White Cardigan OSFM,,Sweater/Cardigan,,35.99,8.99,75.0,0,35.99,0,0.0
10006343,Forever 21 Black Sheer Top,Forever 21,Top,M,35.99,0.0,,0,35.99,0,0.0
10008441,Helena Fejkova Beige Dress M,,Dress,L,35.99,9.0,75.0,0,35.99,0,0.0
10005960,J Crew Beige Red Blue Cashmere Sweater,J Crew,Sweater/Cardigan,M,35.99,0.0,,0,35.99,0,0.0
10004799,JouJou Brown Pleather Jacket,JouJou,Jacket/Coat,M,35.99,0.0,,0,35.99,0,0.0
10004168,Lace Long Tunic Apricot,Unknown,Other,L,35.99,0.0,,0,35.99,0,0.0
10005841,Laundry Black Lace SS Top,Laundry,Top,S,35.99,0.0,,0,35.99,0,0.0
10004652,LTDL Pink&prpSweater,Les Tricots De Lea,Sweater/Cardigan,S,35.99,0.0,,0,35.99,0,0.0
10002653,LushLS Top_Ro,Lush,Top,,16.99,0.0,,1,35.99,1,0.0
10006065,macaramewovenhandbag creme neverused 2pieces,Unknown,Accessories,,35.99,0.0,,0,35.99,0,0.0
10008116,nanette lepore colorful skirt,Nanette Lepore,Skirt,10,35.99,0.0,,0,35.99,0,0.0
10006182,navy skirt with flowers,Persaman,Skirt,8,35.99,0.0,,0,35.99,0,0.0
10003315,Nicole MillerNicole Miller Feather Tank,Nicole Miller,Top,,35.99,0.0,,0,35.99,0,0.0
10008373,Paper Lacer white longsleeve blouse,Paper Lacer,Top,S,35.99,10.99,69.5,0,35.99,0,0.0
10006293,Persaman Black Skirt White Flw,Persaman,Skirt,8,35.99,0.0,,0,35.99,0,0.0
10005919,Persaman Blue & Yellow Skirt,Persaman,Skirt,8,35.99,0.0,,0,35.99,0,0.0
10006296,Persaman Red & Black Skirt 10,Persaman,Skirt,,35.99,0.0,,0,35.99,0,0.0
10003892,RalphLauren Pink Tee,Ralph Lauren Sport,Top,M,35.99,0.0,,0,35.99,0,0.0
10005835,Silver shirt,,Top,,35.99,0.0,,-1,35.99,-1,0.0
10007338,Stella Dot Rhinestone Necklace,Stella & Dot,Accessories,,35.99,0.0,,0,35.99,0,0.0
10006757,Victoria's S Black Corset Top,Victoriaxs Secret,Top,M,35.99,0.0,,0,35.99,0,0.0
