receipt_number,date,day_of_week,month,basket_size,order_subtotal,order_total,basket_category
348,2026-04-30,Thursday,4,5,366.96,400.9,4–5 items
349,2026-05-01,Friday,5,4,115.96,126.69,4–5 items
350,2026-05-01,Friday,5,3,82.97,90.64,3 items
351,2026-05-01,Friday,5,2,42.49,46.42,2 items
352,2026-05-01,Friday,5,3,66.97,73.16,3 items
353,2026-05-01,Friday,5,4,137.96,150.72,4–5 items
354,2026-05-01,Friday,5,2,85.98,93.93,2 items
355,2026-05-01,Friday,5,2,42.98,46.96,2 items
356,2026-05-01,Friday,5,3,70.97,77.53,3 items
357,2026-05-01,Friday,5,5,99.95,109.2,4–5 items
358,2026-05-01,Friday,5,3,51.97,56.78,3 items
359,2026-05-01,Friday,5,2,60.99,66.63,2 items
360,2026-05-01,Friday,5,6,123.94,135.4,6+ items
361,2026-05-01,Friday,5,4,112.97,123.42,4–5 items
362,2026-05-01,Friday,5,5,108.95,119.03,4–5 items
363,2026-05-02,Saturday,5,3,67.97,74.26,3 items
364,2026-05-02,Saturday,5,2,62.98,68.81,2 items
365,2026-05-02,Saturday,5,3,83.97,91.74,3 items
366,2026-05-02,Saturday,5,2,57.98,63.34,2 items
367,2026-05-02,Saturday,5,2,38.99,42.6,2 items
368,2026-05-02,Saturday,5,4,154.96,169.29,4–5 items
369,2026-05-02,Saturday,5,4,82.96,90.63,4–5 items
370,2026-05-02,Saturday,5,2,47.98,52.42,2 items
371,2026-05-02,Saturday,5,2,90.98,99.4,2 items
372,2026-05-02,Saturday,5,7,147.93,161.61,6+ items
373,2026-05-02,Saturday,5,2,31.98,34.94,2 items
374,2026-05-02,Saturday,5,2,40.98,44.77,2 items
375,2026-05-02,Saturday,5,2,41.98,45.86,2 items
376,2026-05-02,Saturday,5,2,50.98,55.7,2 items
377,2026-05-02,Saturday,5,3,88.97,97.2,3 items
378,2026-05-02,Saturday,5,2,64.98,70.99,2 items
379,2026-05-02,Saturday,5,9,198.92,217.32,6+ items
380,2026-05-02,Saturday,5,3,85.97,93.92,3 items
381,2026-05-02,Saturday,5,5,164.95,180.21,4–5 items
382,2026-05-02,Saturday,5,2,55.98,61.16,2 items
383,2026-05-02,Saturday,5,3,57.97,63.33,3 items
384,2026-05-02,Saturday,5,3,117.97,128.88,3 items
385,2026-05-03,Sunday,5,4,316.97,346.29,4–5 items
386,2026-05-03,Sunday,5,3,193.98,211.92,3 items
387,2026-05-03,Sunday,5,2,47.98,52.42,2 items
388,2026-05-03,Sunday,5,2,212.99,232.69,2 items
389,2026-05-03,Sunday,5,4,82.47,90.1,4–5 items
390,2026-05-03,Sunday,5,4,94.96,103.74,4–5 items
391,2026-05-03,Sunday,5,2,42.98,46.96,2 items
392,2026-05-03,Sunday,5,4,186.97,204.26,4–5 items
393,2026-05-03,Sunday,5,5,128.96,140.89,4–5 items
394,2026-05-03,Sunday,5,3,173.98,190.07,3 items
395,2026-05-03,Sunday,5,5,106.96,116.85,4–5 items
396,2026-05-06,Wednesday,5,3,62.97,68.79,3 items
397,2026-05-07,Thursday,5,3,181.98,198.81,3 items
398,2026-05-07,Thursday,5,2,47.98,52.42,2 items
399,2026-05-07,Thursday,5,4,57.96,63.32,4–5 items
400,2026-05-07,Thursday,5,4,100.96,110.3,4–5 items
401,2026-05-07,Thursday,5,4,89.96,98.28,4–5 items
402,2026-05-07,Thursday,5,3,64.97,70.98,3 items
403,2026-05-07,Thursday,5,2,35.99,39.32,2 items
404,2026-05-07,Thursday,5,3,167.98,183.52,3 items
405,2026-05-07,Thursday,5,2,71.99,78.65,2 items
406,2026-05-07,Thursday,5,3,48.97,53.5,3 items
407,2026-05-07,Thursday,5,2,38.99,42.6,2 items
408,2026-05-07,Thursday,5,4,92.96,101.56,4–5 items
409,2026-05-07,Thursday,5,7,169.93,185.65,6+ items
410,2026-05-08,Friday,5,2,52.98,57.88,2 items
411,2026-05-08,Friday,5,2,43.98,48.05,2 items
412,2026-05-08,Friday,5,3,92.97,101.57,3 items
413,2026-05-08,Friday,5,5,150.96,164.92,4–5 items
414,2026-05-08,Friday,5,2,93.98,102.67,2 items
415,2026-05-08,Friday,5,2,59.99,65.54,2 items
416,2026-05-09,Saturday,5,3,86.97,95.01,3 items
417,2026-05-09,Saturday,5,23,758.79,828.98,6+ items
418,2026-05-09,Saturday,5,8,172.96,188.96,6+ items
419,2026-05-09,Saturday,5,4,116.98,127.8,4–5 items
420,2026-05-09,Saturday,5,3,69.97,76.44,3 items
421,2026-05-09,Saturday,5,3,74.97,81.9,3 items
422,2026-05-09,Saturday,5,2,79.99,87.39,2 items
423,2026-05-09,Saturday,5,2,52.98,57.88,2 items
424,2026-05-09,Saturday,5,2,237.99,260.0,2 items
425,2026-05-09,Saturday,5,6,119.94,131.03,6+ items
426,2026-05-09,Saturday,5,2,71.98,78.64,2 items
427,2026-05-09,Saturday,5,2,50.99,55.71,2 items
428,2026-05-09,Saturday,5,2,45.98,50.23,2 items
429,2026-05-09,Saturday,5,3,74.97,81.9,3 items
430,2026-05-09,Saturday,5,5,108.95,119.03,4–5 items
431,2026-05-09,Saturday,5,5,105.95,115.75,4–5 items
432,2026-05-10,Sunday,5,2,44.98,49.14,2 items
433,2026-05-10,Sunday,5,2,46.98,51.33,2 items
434,2026-05-10,Sunday,5,4,104.96,114.67,4–5 items
435,2026-05-10,Sunday,5,2,50.98,55.7,2 items
436,2026-05-10,Sunday,5,3,97.97,107.03,3 items
437,2026-05-10,Sunday,5,3,174.97,191.15,3 items
438,2026-05-10,Sunday,5,3,69.97,76.44,3 items
439,2026-05-10,Sunday,5,3,80.97,88.46,3 items
440,2026-05-10,Sunday,5,4,142.97,156.19,4–5 items
441,2026-05-10,Sunday,5,3,104.97,114.68,3 items
442,2026-05-10,Sunday,5,2,265.99,290.59,2 items
443,2026-05-13,Wednesday,5,2,57.98,63.34,2 items
444,2026-05-13,Wednesday,5,2,28.98,31.66,2 items
445,2026-05-13,Wednesday,5,5,141.96,155.09,4–5 items
446,2026-05-13,Wednesday,5,4,92.97,101.57,4–5 items
447,2026-05-13,Wednesday,5,2,64.98,70.99,2 items
448,2026-05-13,Wednesday,5,2,58.98,64.44,2 items
449,2026-05-13,Wednesday,5,5,113.95,124.49,4–5 items
450,2026-05-13,Wednesday,5,2,35.98,39.31,2 items
451,2026-05-13,Wednesday,5,4,93.96,102.65,4–5 items
452,2026-05-14,Thursday,5,3,112.97,123.42,3 items
453,2026-05-14,Thursday,5,5,167.95,183.49,4–5 items
454,2026-05-14,Thursday,5,5,102.97,112.49,4–5 items
455,2026-05-14,Thursday,5,3,55.97,61.15,3 items
456,2026-05-14,Thursday,5,2,49.98,54.6,2 items
457,2026-05-14,Thursday,5,3,85.97,93.92,3 items
458,2026-05-14,Thursday,5,2,62.49,68.27,2 items
459,2026-05-14,Thursday,5,3,58.48,63.89,3 items
460,2026-05-14,Thursday,5,4,157.96,172.57,4–5 items
461,2026-05-14,Thursday,5,4,101.96,111.39,4–5 items
462,2026-05-14,Thursday,5,2,54.98,60.07,2 items
463,2026-05-14,Thursday,5,3,50.97,55.68,3 items
464,2026-05-14,Thursday,5,3,591.99,646.75,3 items
465,2026-05-15,Friday,5,3,103.48,113.05,3 items
466,2026-05-15,Friday,5,2,152.98,167.13,2 items
467,2026-05-15,Friday,5,2,54.98,60.07,2 items
468,2026-05-15,Friday,5,2,41.98,45.86,2 items
469,2026-05-15,Friday,5,2,89.99,98.31,2 items
470,2026-05-15,Friday,5,3,192.49,210.3,3 items
471,2026-05-15,Friday,5,3,106.48,116.33,3 items
472,2026-05-15,Friday,5,2,140.99,154.03,2 items
473,2026-05-15,Friday,5,11,414.89,453.27,6+ items
474,2026-05-15,Friday,5,3,53.97,58.96,3 items
475,2026-05-15,Friday,5,8,180.43,197.12,6+ items
476,2026-05-15,Friday,5,4,105.47,115.23,4–5 items
477,2026-05-15,Friday,5,2,51.49,56.25,2 items
478,2026-05-15,Friday,5,2,51.98,56.79,2 items
479,2026-05-15,Friday,5,3,47.97,52.41,3 items
480,2026-05-15,Friday,5,5,109.95,120.12,4–5 items
481,2026-05-15,Friday,5,2,53.98,58.97,2 items
482,2026-05-15,Friday,5,5,139.95,152.9,4–5 items
483,2026-05-15,Friday,5,2,48.49,52.98,2 items
484,2026-05-15,Friday,5,2,44.99,49.15,2 items
485,2026-05-15,Friday,5,4,111.96,122.32,4–5 items
486,2026-05-15,Friday,5,5,123.95,135.42,4–5 items
487,2026-05-15,Friday,5,2,53.99,58.98,2 items
488,2026-05-15,Friday,5,3,74.97,81.9,3 items
489,2026-05-15,Friday,5,5,130.95,143.06,4–5 items
490,2026-05-15,Friday,5,4,90.96,99.37,4–5 items
491,2026-05-16,Saturday,5,3,60.98,66.62,3 items
492,2026-05-16,Saturday,5,6,153.94,168.18,6+ items
493,2026-05-16,Saturday,5,3,61.97,67.7,3 items
494,2026-05-16,Saturday,5,3,70.97,77.53,3 items
495,2026-05-16,Saturday,5,4,73.96,80.8,4–5 items
496,2026-05-16,Saturday,5,4,104.96,114.67,4–5 items
497,2026-05-16,Saturday,5,2,51.98,56.79,2 items
498,2026-05-16,Saturday,5,2,49.99,54.61,2 items
499,2026-05-16,Saturday,5,4,93.96,102.65,4–5 items
500,2026-05-16,Saturday,5,2,35.98,39.31,2 items
501,2026-05-16,Saturday,5,4,88.48,96.66,4–5 items
502,2026-05-16,Saturday,5,4,256.97,280.74,4–5 items
503,2026-05-16,Saturday,5,4,87.96,96.1,4–5 items
504,2026-05-16,Saturday,5,6,107.46,117.4,6+ items
505,2026-05-16,Saturday,5,3,93.97,102.66,3 items
506,2026-05-16,Saturday,5,3,74.99,81.93,3 items
507,2026-05-16,Saturday,5,2,88.98,97.21,2 items
508,2026-05-16,Saturday,5,6,121.95,133.23,6+ items
509,2026-05-16,Saturday,5,2,40.98,44.77,2 items
510,2026-05-16,Saturday,5,3,53.97,58.96,3 items
