Product,SKU,Supplier Code,Brand,Supplier,Category,Tag,Closing Inventory,Revenue,Inventory Cost
Altar'd State White/Pink LS Top S,10008236,,,,,,1,0,3.75
AltarXdS/LightBrwnSkirt/SizeXS,10004858,,Altarxd State,,,,0,22.99,0
Altard Black Skirt,10007212,,Altarxd State,,,,1,0,0
Altard State Blue Dress S,10008466,,,,,,1,0,8
Altard State Brown Skort S,10008508,,,,,,0,19.99,0
Altard State Dress Brown Size L,10007190,,,,,,0,24.99,0
Altard State Dusty Rose Dress S,10008798,,,,,,1,0,7.5
Altard State Floral Dress S,10008445,,,,,,1,0,14.99
Altard State Green Top Size S,10007202,,,,,,0,18.99,0
Altard State Overalls White Size L,10007279,,,,,,0,19.99,0
Altard State Pink Dress L,10008468,,,,,,1,0,9
Altard State Red Floral Dress S,10007542,,,,,,1,0,0
Altard State White Sweater Size M,10007557,,,,,,0,16,0
Altard State black/white pants S,10008683,,,,,,1,0,8
Altard State blue lace dress/L,10006840,,Altarxd State,,,,1,0,0
AltardS/Whi&BluTop/SizeS,10006024,,Altarxd State,,,,1,0,0
AltardS/WhiZipUpSleeveless/SizeM,10004943,,Altarxd State,,,,1,0,0
AltardSt/MulticolFloralCropTop/SizeS,10006129,,Altarxd State,,,,1,0,0
AltardState/ Pattern Crop/ Brn&Prpl/ Size M,10005183,,Altarxd State,,,,1,0,0
AltardState/ Slvlss Top/ Peach/ Size L,10005047,,Altarxd State,,,,1,0,0
AltardState/StripeBttnSkirt/SizeS,10005792,,Altarxd State,,,,0,22.99,0
Altardstate/MulticolFloralDress/SizeS,10006114,,Altarxd State,,,,1,0,0
Altardstateorangeandwhitecheckeredshort/xs,10007350,,Altarxd State,,,,0,28.99,0
Altarxd State Orange Pink FL Crop Top / Size S,10004842,,Altarxd State,,,,0,15.99,0
Altarxd StateDress_H,10002225,,Altarxd State,,,,1,0,0
Altarxd StateShirt_Cr,10002834,,Altarxd State,,,,1,0,0
Altarxd StateSweater_A,10000105,,Altarxd State,,,,1,0,0
AltarxdS/BeigeSweater/SizeXL,10004656,,Altarxd State,,,,1,0,0
AlterdState Orange Blouse/Size S,10004742,,Altarxd State,,,,1,0,0
Alya Mint Green Fuzzy Sweater/Size L,10007012,,Alya,,,,1,0,0
AlynPa/OneSlvMulticolDress/Size7/8,10007741,,Alyn Paige,,,,1,0,0
Amanda Smith LS Blouse Green Size S,10007585,,,,,,1,0,0
Amang Blue White Sheer SS Top / Size M,10006613,,Amang NY,,,,1,0,0
Amarsi Black SL Vest / Size L,10006544,,Amarsi,,,,1,0,0
AmberNecklace,10006128,,unknown,,,,0,22.99,0
Ambience Apparel Size L Floral Sleeveless Tank,10005367,,Ambience Apparel,,,,1,0,0
Ambrose/LeatherAnkleBoots/Size8,10004377,,Ambrose,,,,0,13.99,0
Ameri Leather Brown Bag,10005615,,Ameri Leather,,,,1,0,0
American E Dusty Blue Striped Off Shoulder / Size S,10005134,,American Eagle Outfitters,,,,1,0,0
American Eagle Lace Mesh Skirt / Size XS,10005721,,American Eagle Outfitters,,,,0,32.99,0
American Eagle White Tank Top XS,10008651,,,,,,1,0,3.5
AmericanEagle/ Knit Sweater/ Pnk&Orng/ Size M,10005147,,American Eagle,,,,0,24.99,0
AmericanEagle/ Ruche Crop/ Multicolor/ Size S,10005171,,American Eagle Outfitters,,,,0,15.99,0
AmericanEagle/BlackCorsetTop/SizeM,10006878,,American Eagle,,,,0,24.99,0
AmericanEagle/RedWhiSkirt/SizeM,10006937,,American Eagle,,,,0,19.99,0
Amethyst/CapriJean/Size14,10005779,,Amethyst,,,,1,0,0
Ammo Blk Tank NWT/ Size S,10007026,,Ammo,,,,0,28.99,0
AnGi/ShortSleeve/Tan/SizeS,10004097,,An. Gi,,,,1,0,0
Ana Sui Red & Black Bag,10008770,,Ana Sui,,,,1,0,6.5
Analogy Detitier Green Multicolor/Size  S,10004736,,Analogy Detiter,,,,1,0,0
Ande Black Purse Gold Hardware,10007928,,Ande,,,,0,12.99,0
Andrea Jovine Black/Fish Dress 6,10007970,,,,,,0,20,0
Andree Army Green Vest / Size S,10006548,,Andree,,,,0,31.99,0
Andree White Frayed Top S,10008526,,,,,,1,0,13.15
Andres White Dress L,10007975,,,,,,1,0,3.75
Angel Biba Floral Print Dress M,10007856,,,,,,1,0,0
Angel Biba White Lace Dress / Size S,10006725,,Angel Biba,,,,0,32.99,0
Angels Never Die White Pants / Size 29,10008160,,Angels Never Die,,,,1,0,8
Angie/ Embellished Plaid Flannel/ Brn/ Size S,10005140,,Angie,,,,1,0,0
Angie/BlkPurpFloralHalter/SizeS,10005473,,Angie,,,,0,25.99,0
Ann Klein Cardigan Pink Size S,10003390,,Ann Klein,,,,1,0,0
Ann M White Floral Buttondown / Size M,10006305,,Ann Mashburn,,,,1,0,0
Ann May Black Silk Tank / Size XL,10004849,,Ann May,,,,1,0,0
Ann Taylor Baby Pink Tank / Size L,10006288,,Ann Taylor,,,,0,23.99,0
Ann Taylor Black & White Skirt Size 8,10006621,,,,,,0,23.99,0
Ann Taylor Black Blouse/ Size XS,10004359,,Ann Taylor,,,,1,0,0
Ann Taylor Black Leather Skirt / Size 8,10005716,,Ann Taylor,,,,0,35.99,0
Ann Taylor Black Pants / Size 8,10003773,,Ann Taylor Loft,,,,1,0,0
Ann Taylor Black SS Top/Size XL,10005585,,Ann Taylor,,,,1,0,0
Ann Taylor Black Skirt/Size 4P,10007001,,Ann Taylor,,,,1,0,0
Ann Taylor Black Sleeveless Shirt / Size M,10004649,,Ann Taylor,,,,1,0,0
Ann Taylor Blazer Black Size 8,10003396,,Ann Taylor,,,,1,0,0
Ann Taylor Blue SS Top/Size XS,10005583,,Ann Taylor,,,,1,0,0
Ann Taylor Blue Striped Top 10,10008401,,,,,,1,0,5
Ann Taylor Blush Pink Cardigan / Size M,10006614,,Ann Taylor,,,,1,0,0
Ann Taylor Brown SS Cover Up / Size 2,10005929,,Ann Taylor,,,,0,22.99,0
Ann Taylor Cami Top/ Size L,10007323,,Ann Taylor,,,,1,0,0
Ann Taylor Dark Blue Shorts / Size 12,10007580,,Ann Taylor,,,,1,0,0
Ann Taylor Long Sleeve Burgundy / Size M,10003774,,Ann Taylor,,,,1,0,0
