id,handle,sku,composite_name,composite_sku,composite_quantity,name,description,product_category,variant_option_one_name,variant_option_one_value,variant_option_two_name,variant_option_two_value,variant_option_three_name,variant_option_three_value,tags,active_online,weight,weight_unit,length,width,height,dimensions_unit,supply_price,retail_price,account_code,account_code_purchase,brand_name,supplier_name,supplier_code,active,track_inventory,outlet_tax_Knoxville_Location,inventory_Knoxville_Location,reorder_point_Knoxville_Location,restock_level_Knoxville_Location
4be58278-6049-470f-a8ca-3d9142148e7b,10002574,10002574,,,,SanctuaryVest_Is,,,Color,Brown,Size,S,Sequence,13.92,,1,,,,,,,0,29.99,,,Sanctuary,,,1,1,Default Tax,1,,
8bbce06f-da06-4741-b933-f7829a643571,sandy--sid-cold-shoulder-top-red-multi--size-xl,10007919,,,,Sandy & Sid Cold Shoulder Top Red Multi / Size XL,,,,,,,,,,0,0,LB,0,0,0,IN,0,23.99,,,Sid X Sandy,,,1,1,Default Tax,1,,
cbfa7fba-3db4-4221-b376-55b93a72abd3,sangria-black-red-white-dress--size-6,10004632,,,,Sangria Black Red White Dress / Size 6,,,,,,,,,,0,0,LB,0,0,0,IN,0,27.99,,,Sangria,,,1,1,Default Tax,1,,
90d707a0-8dd4-4f83-a65c-e28cd132560b,sans-souci-blackgold-top-s,10008209,,,,Sans Souci Black/Gold Top S,,,,,,,,,,0,0,LB,0,0,0,IN,6,23.99,,,,,,1,1,Default Tax,1,,
e3b2eab5-bd8a-4d7e-9751-20b3a625bebf,santiki-blackleaf-dress-m,10008748,,,,Santiki Black/Leaf Dress M,,,,,,,,,,0,0,LB,0,0,0,IN,5.5,22.00,,,,,,1,1,Default Tax,1,,
51e6639d-5eba-4730-af71-36c472e0f767,santiki-green-pants-l,10007977,,,,Santiki Green Pants L,,,,,,,,,,0,0,LB,0,0,0,IN,4.25,17.00,,,,,,1,1,Default Tax,1,,
1338b6ca-da1f-4667-bf22-a7287c1b4b95,sarah-kuenyefu-crop-jacksize-s,10007329,,,,Sarah Kuenyefu Crop Jack/Size S,,,,,,,,,,0,0,LB,0,0,0,IN,0,45.99,,,Sarah Kuenyefu,,,1,1,Default Tax,1,,
11a6cb30-540e-4335-927e-1c4181c29ba2,sasredflatsize9,10005405,,,,Sas/RedFlat/Size9,,,,,,,,,,0,0,LB,0,0,0,IN,0,25.99,,,Sas,,,1,1,Default Tax,1,,
5c25c63e-85e3-487a-b659-98305ce03f22,sashu-brown-shoes-size-9,10007674,,,,Sashu Brown Shoes Size 9,,,,,,,,,,0,0,LB,0,0,0,IN,0,16.99,,,,,,1,1,Default Tax,0,,
8c77b49c-1f1d-4bb3-9ea4-2d6440cf5c5e,sasson-black-slip-dress--size-l,10003910,,,,Sasson Black Slip Dress / Size L,,,,,,,,,,1,0,,0,0,0,,0,27.99,,,Sasson,,,1,1,Default Tax,0,,
7d4645af-ca3d-4c5e-9979-5cb49c00fb5f,satinjacketpinksize-20,10004417,,,,SatinJacket/Pink/Size 20,,,,,,,,,,1,0,,0,0,0,,0,24.99,,,Cato,,,1,1,Default Tax,1,,
c47fab72-285c-4b39-b202-88c561c62974,savannajane-floral-top-prpl-size-l,10005062,,,,SavannaJane/ Floral Top/ Prpl/ Size L,,,,,,,,,,0,0,LB,0,0,0,IN,0,21.99,,,Savanna Jane,,,1,1,Default Tax,0,,
9ecd9c2f-dde3-4ffd-b33e-11014f816453,say-what-black-tank-top-w-detail--size-l,10005927,,,,Say What Black Tank Top w Detail / Size L,,,,,,,,,,0,0,LB,0,0,0,IN,0,21.99,,,Say What,,,1,1,Default Tax,1,,
12b118f8-ee62-4657-91cb-92079a162c37,sayane-plaid-black--white-pants-size-14,10003755,,,,Sayane Plaid Black & White Pants/ Size 14,,,,,,,,,,1,0,,0,0,0,,0,29.99,,,Sayane,,,1,1,Default Tax,1,,
82838778-3761-4a5d-89cc-9b3130a141aa,saywhatblackcorsetsizel,10008324,,,,Saywhat/BlackCorset/SizeL,,,,,,,,,,0,0,LB,0,0,0,IN,0,14.99,,,Say What,,,1,1,Default Tax,0,,
