datetime,date,hour,month,day_of_week,week_num,receipt_number,total_items,subtotal,sales_tax,total_discount,total,details,register
2026-03-27 14:45:50,2026-03-27,14,3,Friday,13,625,1.0,19.99,1.85,0.0,21.84,1 X green with white flowers blouse/small,Main Register
2026-03-27 14:43:29,2026-03-27,14,3,Friday,13,624,2.0,44.98,4.16,0.0,49.14,1 X DieselJeans_Al + 1 X LeviJeans,Main Register
2026-03-27 14:10:04,2026-03-27,14,3,Friday,13,623,1.0,175.0,16.19,0.0,191.19,1 X Desigual/GrnPatternJacket/Size38,Main Register
2026-03-27 14:02:46,2026-03-27,14,3,Friday,13,622,1.0,22.99,2.13,0.0,25.12,1 X Zara Basic White Top Size XS,Main Register
2026-03-27 13:18:57,2026-03-27,13,3,Friday,13,621,1.0,15.99,1.48,0.0,17.47,1 X Socialite White Cami Top/Size S,Main Register
2026-03-27 12:58:17,2026-03-27,12,3,Friday,13,620,1.0,32.99,3.05,0.0,36.04,1 X Libra LS Blouse Multi-Color Size XL,Main Register
2026-03-27 12:54:32,2026-03-27,12,3,Friday,13,619,1.0,21.95,2.03,0.0,23.98,1 X Blue Purse Silver Hardware,Main Register
2026-03-27 12:48:53,2026-03-27,12,3,Friday,13,618,1.0,22.99,2.13,0.0,25.12,1 X Juicy Couture 2 Piece Baby Pink Velvet / Size M,Main Register
2026-03-27 12:36:36,2026-03-27,12,3,Friday,13,617,2.0,41.98,3.88,0.0,45.86,1 X Gypsies & Moondust Red Blue Stripe Top / Size M + 1 X St Johns Bay Brown & White SS / Size L,Main Register
2026-03-27 12:24:26,2026-03-27,12,3,Friday,13,616,1.0,27.99,2.59,0.0,30.58,1 X SincerelyJules/WhiCrewSweater/SizeM,Main Register
2026-03-27 12:11:14,2026-03-27,12,3,Friday,13,615,1.0,22.99,2.13,0.0,25.12,1 X Land's End Pink Zip Up Jacket / Size XL,Main Register
2026-03-27 11:43:11,2026-03-27,11,3,Friday,13,614,1.0,24.99,2.31,0.0,27.3,1 X Lulus White Ruffle Two Piece Set / Size M,Main Register
